"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000000003",747.194195359907,-0.350703020686589,0.168245681332907,-2.08446967499067,0.0371174658437035,0.163034808643529
"ENSG00000000005",0,NA,NA,NA,NA,NA
"ENSG00000000419",520.134160051965,0.206107766417874,0.101059218008482,2.03947517583775,0.0414026263009694,0.17603166488093
"ENSG00000000457",322.664843927049,0.0245269479387447,0.145145067649734,0.168982303952163,0.86581056062402,0.961694238404897
"ENSG00000000460",87.682625164828,-0.147142049222081,0.257007253995457,-0.572520996721293,0.566969065259224,0.815848587639728
"ENSG00000000938",0.319166568913118,-1.73228897394308,3.49360097648095,-0.495846258804286,0.620002884826012,NA
"ENSG00000000971",5760.14836162122,0.459281905807018,0.234311633845829,1.9601327440242,0.0499802769424353,0.2009444657846
"ENSG00000001036",2025.39179382894,-0.228243688351358,0.125005308318607,-1.82587196832971,0.0678695494960519,0.246790954890206
"ENSG00000001084",652.173308358757,-0.253030787429104,0.20257659424,-1.249062303463,0.211642286940058,0.495030492001109
"ENSG00000001167",411.684395281717,-0.533733396573778,0.228791461149344,-2.33283792101569,0.0196566535724079,0.105268747649971
"ENSG00000001460",201.336569053853,-0.123556348103722,0.161114727310498,-0.76688425798348,0.443150334002232,0.730583672004095
"ENSG00000001461",2918.77668675377,0.0021015239587241,0.288704344043328,0.00727915600192254,0.994192125099888,0.998014166808365
"ENSG00000001497",539.501702816792,-0.0573211492611381,0.109341581210268,-0.524239256709735,0.600112139780083,0.837621133649533
"ENSG00000001561",115.914401421895,0.286816638209841,0.715972980502255,0.400597014161958,0.688716844327322,0.887117297133783
"ENSG00000001617",604.297522477042,-0.192202806884415,0.19869055051071,-0.967347497857253,0.333370346700474,0.639074750804549
"ENSG00000001626",9.6724145714589,-0.286388065302273,0.586258600934622,-0.488501260102127,0.625194833387953,NA
"ENSG00000001629",1826.75812135437,-0.246091165637129,0.190393072929384,-1.29254264270635,0.196169288316229,0.474446482202059
"ENSG00000001630",979.608386428198,-0.179753249342172,0.121379855929006,-1.48091499999232,0.138629225360661,0.386406073068995
"ENSG00000001631",848.723819299268,-0.0712550209851386,0.153652803234514,-0.463740455658235,0.642833708758526,0.862101878964657
"ENSG00000002016",203.735815126675,-0.411582595769083,0.228455036442651,-1.80159125479557,0.0716097381886267,0.2557852558648
"ENSG00000002079",3.06484852801131,1.0611299455254,1.77213592724289,0.598785865809018,0.549315688868312,NA
"ENSG00000002330",688.667589034695,0.0103246419431197,0.0964225022821863,0.107077100248903,0.914727814058453,0.97698945749072
"ENSG00000002549",1229.98469317186,0.164300728725491,0.177395585312048,0.926182736940594,0.354351022346393,0.656729477669876
"ENSG00000002586",8367.26727634875,0.0792894308760634,0.131640081100452,0.602319827010431,0.54696126548609,0.801490814632449
"ENSG00000002587",1.95953335698007,0.399056442748628,1.15881067604339,0.344367247384323,0.730570117049074,NA
"ENSG00000002726",1.53531673945229,0.804939605370724,1.80336251423484,0.446354850462365,0.655340940971811,NA
"ENSG00000002745",7.28561888515924,-0.61675584039705,1.02005314561398,-0.604631085202739,0.545424147476132,NA
"ENSG00000002746",126.130005973738,0.193681254724163,0.308349478771357,0.628122529980919,0.529923674967425,0.788533509273105
"ENSG00000002822",351.152304336473,-0.0573898319667582,0.150034116411943,-0.382511880225862,0.702081718535567,0.893013427124058
"ENSG00000002834",8609.18275618938,0.416875055371324,0.108296983617101,3.84936903547787,0.000118422479338156,0.00183011066283303
"ENSG00000002919",251.500095596273,0.341973669874962,0.144338780690486,2.36924316693707,0.0178245300406496,0.098811313127979
"ENSG00000002933",546.441449222622,0.404466498425363,1.40062631378887,0.288775453126558,0.772753217770892,0.925756744263962
"ENSG00000003056",1837.96769229328,-0.00770187687693576,0.100389433711625,-0.0767199952443195,0.938846297516426,0.983555502335444
"ENSG00000003096",414.075308683702,-0.964578629321607,0.191741904271735,-5.03060941730616,4.88923265891446e-07,1.49289170603346e-05
"ENSG00000003137",106.506412172302,-1.03077632905585,0.583074413478528,-1.76782980907429,0.0770893599144573,0.267760568986521
"ENSG00000003147",9.33188603208963,0.254911504755405,0.570505284733652,0.44681707878379,0.655007138939522,NA
"ENSG00000003249",122.242063046478,-0.368497975015854,0.353315002468504,-1.04297290644686,0.296960841171254,0.600626063990261
"ENSG00000003393",860.859802380907,0.0548919352194585,0.166834695848002,0.329019901648449,0.742140645414737,0.912907738369574
"ENSG00000003400",95.3711570248671,-0.178398908375818,0.354603466801261,-0.503094089815546,0.614898121801157,0.845066429644149
